r,K,upper,lower,ref_pof
0,1,1.0,0.0,0.00451
0,2,1.0,0.0,0.00451
0,4,1.0,0.00015423,0.00451
0,8,0.0546,0.00018928,0.00451
1,1,1.0,0.0,0.00451
1,2,0.3404,0.0,0.00451
1,4,0.1402,0.00015423,0.00451
1,8,0.0149,0.0015,0.00451
2,1,0.1145,0.0,0.00451
2,2,0.0433,0.0,0.00451
2,4,0.0256,0.00022285,0.00451
2,8,0.0081,0.0023,0.00451
