r,K,upper,lower,ref_pof
0,1,1.0,0.0,5.0249e-07
0,2,0.375,0.0,5.0249e-07
0,4,0.125,0.0,5.0249e-07
0,8,0.0334,0.0,5.0249e-07
1,1,0.4976,0.0,5.0249e-07
1,2,0.0255,0.0,5.0249e-07
1,4,0.0042,0.0,5.0249e-07
1,8,0.00090931,0.0,5.0249e-07
2,1,0.0157,0.0,5.0249e-07
2,2,0.0011072,0.0,5.0249e-07
2,4,0.00026038,0.0,5.0249e-07
2,8,8.6255e-05,0.0,5.0249e-07
