r,K,upper,lower,ref_pof
0,1,1.0,0.0,1.16e-05
0,2,1.0,0.0,1.16e-05
0,4,0.0124,0.0,1.16e-05
0,8,0.0014,2.1889e-06,1.16e-05
1,1,1.0,0.0,1.16e-05
1,2,0.0507,0.0,1.16e-05
1,4,0.00095711,0.0,1.16e-05
1,8,0.00024623,2.1889e-06,1.16e-05
2,1,0.0151,0.0,1.16e-05
2,2,0.0066,0.0,1.16e-05
2,4,0.00013068,0.0,1.16e-05
2,8,4.0035e-05,2.2345e-06,1.16e-05
